DatasetID,AnchorsRate,Order,NumSampling,K,Seed,ACC,NMI,Purity,Fscore,P,R,RI,Runtime,Obj_History,alphaA_History
1,10,3,3,5,2,0.756944444444444,0.831825744327165,0.757638888888889,0.698603732781722,0.672580791165022,0.726721439749609,0.682323165105589,0.226281,[78368.526587 72082.100401 71899.637232 71899.637232],[0.111111 0 0 0;0.111111 0 0 0;0.111111 0.187175 0.184158 0.184158;0.111111 0 0 0;0.111111 0.074412 0.073704 0.073704;0.111111 0 0 0;0.111111 0.21412 0.21588 0.21588;0.111111 0.213891 0.214585 0.214585;0.111111 0.310402 0.311673 0.311673]
1,10,3,3,5,4,0.659027777777778,0.789978164791111,0.708333333333333,0.638050578403824,0.597842439991794,0.684057120500782,0.617931545477915,0.2739497,[75528.985545 72094.817078 72007.323197 72007.323197],[0.111111 0.017243 0.013923 0.013923;0.111111 0 0 0;0.111111 0.126051 0.126112 0.126112;0.111111 0.020808 0.018549 0.018549;0.111111 0.099792 0.099376 0.099376;0.111111 0.104745 0.106124 0.106124;0.111111 0.205118 0.204727 0.204727;0.111111 0.136579 0.138035 0.138035;0.111111 0.289665 0.293155 0.293155]
1,10,3,3,5,6,0.702777777777778,0.788769034563007,0.724305555555556,0.614206247325631,0.545945534763426,0.701975743348983,0.591532684030809,0.2510762,[77004.033272 73047.553078 73019.457496 73019.457496],[0.111111 0 0 0;0.111111 0.019869 0.018534 0.018534;0.111111 0.130211 0.130105 0.130105;0.111111 0.074465 0.074166 0.074166;0.111111 0 0 0;0.111111 0.217296 0.218442 0.218442;0.111111 0.048264 0.047804 0.047804;0.111111 0.185604 0.185461 0.185461;0.111111 0.32429 0.325488 0.325488]
1,10,3,3,5,8,0.673611111111111,0.781377751706383,0.716666666666667,0.608031378728579,0.540755860892349,0.694424882629108,0.585008394051589,0.2058119,[75235.073063 70484.456626 70421.21067 70421.21067],[0.111111 0 0 0;0.111111 0.003981 0.003865 0.003865;0.111111 0.124377 0.122642 0.122642;0.111111 0 0 0;0.111111 0.041528 0.040866 0.040866;0.111111 0.187734 0.187497 0.187497;0.111111 0.071577 0.071203 0.071203;0.111111 0.317777 0.319276 0.319276;0.111111 0.253025 0.254651 0.254651]
1,10,3,3,5,10,0.705555555555556,0.802971365147896,0.733333333333333,0.646841229879939,0.604087799412633,0.696107198748044,0.627142507525753,0.2261789,[76304.399756 71073.758083 70954.084723 70954.084723],[0.111111 0 0 0;0.111111 0.045123 0.042658 0.042658;0.111111 0.09064 0.089541 0.089541;0.111111 0 0 0;0.111111 0 0 0;0.111111 0.187789 0.188056 0.188056;0.111111 0.218599 0.219341 0.219341;0.111111 0.165166 0.165483 0.165483;0.111111 0.292684 0.294921 0.294921]
1,10,3,3,5,12,0.734722222222222,0.821583922852363,0.734722222222222,0.67034915184653,0.640846326756342,0.702699530516432,0.652409560653996,0.2290652,[76559.428314 72871.033382 72787.60579 72787.60579],[0.111111 0 0 0;0.111111 0.029164 0.026824 0.026824;0.111111 0.118324 0.117079 0.117079;0.111111 0.116594 0.117594 0.117594;0.111111 0.112084 0.110194 0.110194;0.111111 0.013418 0.013147 0.013147;0.111111 0.153333 0.15477 0.15477;0.111111 0.140107 0.141518 0.141518;0.111111 0.316977 0.318876 0.318876]
1,10,3,3,5,14,0.684027777777778,0.80456537095428,0.696527777777778,0.641799350194762,0.592954990215264,0.699413145539906,0.621590719941793,0.274416,[76617.712742 73401.981691 73267.154543 73267.154543],[0.111111 0.037887 0.034478 0.034478;0.111111 0.008946 0.006775 0.006775;0.111111 0.192483 0.193516 0.193516;0.111111 0 0 0;0.111111 0 0 0;0.111111 0.14617 0.145593 0.145593;0.111111 0.147444 0.147697 0.147697;0.111111 0.277304 0.277966 0.277966;0.111111 0.189765 0.193975 0.193975]
1,10,3,3,5,16,0.736805555555556,0.816501285992138,0.752083333333333,0.667445196410181,0.629736951693504,0.70995696400626,0.649094873896355,0.24117,[77023.71645 71888.268027 71805.461152 71805.461152],[0.111111 0.023693 0.020467 0.020467;0.111111 0.032127 0.032259 0.032259;0.111111 0.085919 0.086178 0.086178;0.111111 0 0 0;0.111111 0.011571 0.008707 0.008707;0.111111 0.145145 0.146609 0.146609;0.111111 0.178858 0.181041 0.181041;0.111111 0.190812 0.190411 0.190411;0.111111 0.331875 0.334328 0.334328]
1,10,3,3,7,2,0.733333333333333,0.800005788551478,0.744444444444444,0.658071565146135,0.615533980582524,0.706924882629108,0.6390305964489,0.2278772,[79162.682131 73225.020907 73173.858608 73173.858608],[0.111111 0.000966 0 0;0.111111 0 0 0;0.111111 0.185422 0.18559 0.18559;0.111111 0.014267 0.013031 0.013031;0.111111 0 0 0;0.111111 0.134395 0.134597 0.134597;0.111111 0.170706 0.170266 0.170266;0.111111 0.124494 0.125996 0.125996;0.111111 0.369748 0.37052 0.37052]
1,10,3,3,7,4,0.606944444444444,0.745850344249451,0.651388888888889,0.578277046365198,0.532691800685473,0.632394366197183,0.554410333539768,0.243281,[78452.525029 72638.777 72574.772643 72574.772643],[0.111111 0.089136 0.087314 0.087314;0.111111 0 0 0;0.111111 0.049413 0.048312 0.048312;0.111111 0 0 0;0.111111 0.061406 0.060855 0.060855;0.111111 0.062721 0.062838 0.062838;0.111111 0.167385 0.168302 0.168302;0.111111 0.326815 0.328444 0.328444;0.111111 0.243124 0.243934 0.243934]
1,10,3,3,7,6,0.651388888888889,0.76336691037752,0.685416666666667,0.596633499613199,0.546926199442461,0.656279342723005,0.573687637022801,0.2710736,[76983.522094 71449.808459 71393.679826 71393.679826],[0.111111 0.057237 0.055478 0.055478;0.111111 0.048869 0.047293 0.047293;0.111111 0.097788 0.098273 0.098273;0.111111 0.038435 0.037528 0.037528;0.111111 0 0 0;0.111111 0 0 0;0.111111 0.219068 0.221413 0.221413;0.111111 0.388752 0.389909 0.389909;0.111111 0.149851 0.150107 0.150107]
1,10,3,3,7,8,0.673611111111111,0.766232953841881,0.705555555555556,0.61817713223247,0.58377664198046,0.656885758998435,0.597128170581075,0.2248796,[75805.570586 71443.299351 71423.267981 71423.267981],[0.111111 0.057413 0.057104 0.057104;0.111111 0 0 0;0.111111 0.053332 0.052851 0.052851;0.111111 0.078824 0.078804 0.078804;0.111111 0.028949 0.027669 0.027669;0.111111 0.148549 0.149391 0.149391;0.111111 0.156666 0.15692 0.15692;0.111111 0.176214 0.176419 0.176419;0.111111 0.300053 0.300842 0.300842]
1,10,3,3,7,10,0.756944444444444,0.822325603367565,0.759027777777778,0.699934737578859,0.677587122530079,0.723806729264476,0.683819956343841,0.4287101,[77916.227393 72390.901712 72262.146135 72262.135458 72262.135458],[0.111111 0 0 0 0;0.111111 0 0 0 0;0.111111 0.091162 0.089855 0.089835 0.089835;0.111111 0.054063 0.051765 0.051714 0.051714;0.111111 0 0 0 0;0.111111 0.144085 0.143795 0.14385 0.14385;0.111111 0.266881 0.268281 0.268211 0.268211;0.111111 0.181441 0.182167 0.182213 0.182213;0.111111 0.262368 0.264138 0.264176 0.264176]
1,10,3,3,7,12,0.673611111111111,0.777642127510385,0.700694444444444,0.627399061540263,0.581359638141973,0.681357589984351,0.606443279353215,0.2833402,[74548.679243 69221.148396 69131.071765 69131.071765],[0.111111 0.052732 0.049577 0.049577;0.111111 0 0 0;0.111111 0.098003 0.096988 0.096988;0.111111 0.091163 0.091951 0.091951;0.111111 0 0 0;0.111111 0 0 0;0.111111 0.192847 0.194357 0.194357;0.111111 0.20995 0.211116 0.211116;0.111111 0.355306 0.356012 0.356012]
1,10,3,3,7,14,0.645138888888889,0.770346035164388,0.684027777777778,0.612505301200376,0.579255745823597,0.649804381846635,0.5911761651771,0.2822789,[77685.503028 72369.287722 72295.008342 72295.008342],[0.111111 0.027569 0.025525 0.025525;0.111111 0.003577 0.002573 0.002573;0.111111 0.128835 0.128862 0.128862;0.111111 0 0 0;0.111111 0 0 0;0.111111 0.167584 0.167926 0.167926;0.111111 0.306222 0.307204 0.307204;0.111111 0.166082 0.165885 0.165885;0.111111 0.20013 0.202025 0.202025]
1,10,3,3,7,16,0.741666666666667,0.806192490005859,0.757638888888889,0.683839289929654,0.660965592771744,0.70835289514867,0.666831962104257,0.2592693,[76593.6857 71151.505104 71128.093516 71128.093516],[0.111111 0.129457 0.12888 0.12888;0.111111 0 0 0;0.111111 0.044024 0.043789 0.043789;0.111111 0.007871 0.007403 0.007403;0.111111 0 0 0;0.111111 0.133139 0.132245 0.132245;0.111111 0.13943 0.140138 0.140138;0.111111 0.207046 0.207718 0.207718;0.111111 0.339033 0.339826 0.339826]
1,10,3,3,10,2,0.622916666666667,0.747211349540784,0.653472222222222,0.568268307429669,0.520897176762079,0.625117370892019,0.543707519274664,0.2551439,[79856.068778 73738.80824 73635.41825 73635.41825],[0.111111 0.072049 0.070301 0.070301;0.111111 0 0 0;0.111111 0.104692 0.103593 0.103593;0.111111 0 0 0;0.111111 0.050658 0.048505 0.048505;0.111111 0.014339 0.013393 0.013393;0.111111 0.3757 0.378467 0.378467;0.111111 0.036151 0.037399 0.037399;0.111111 0.346411 0.348342 0.348342]
1,10,3,3,10,4,0.690277777777778,0.778912374709855,0.701388888888889,0.639116923242738,0.590836626922183,0.695989827856025,0.618770060158999,0.2319214,[81187.223298 73619.247325 73531.590741 73531.590741],[0.111111 0 0 0;0.111111 0.033414 0.03182 0.03182;0.111111 0.123446 0.123089 0.123089;0.111111 0.021811 0.021514 0.021514;0.111111 0.053837 0.05224 0.05224;0.111111 0 0 0;0.111111 0.299083 0.299683 0.299683;0.111111 0.177089 0.17811 0.17811;0.111111 0.291319 0.293543 0.293543]
1,10,3,3,10,6,0.686111111111111,0.773840854289514,0.720833333333333,0.618747495355022,0.578907901015748,0.664475743348983,0.597522730380892,0.3111459,[79088.7229 74120.38911 73990.450054 73990.450054],[0.111111 0 0 0;0.111111 0.072737 0.071502 0.071502;0.111111 0.10265 0.101488 0.101488;0.111111 0.039571 0.036738 0.036738;0.111111 0.025915 0.024403 0.024403;0.111111 0 0 0;0.111111 0.277698 0.281647 0.281647;0.111111 0.164084 0.163507 0.163507;0.111111 0.317346 0.320716 0.320716]
1,10,3,3,10,8,0.640277777777778,0.744459155647829,0.677777777777778,0.579147861736476,0.526244264313236,0.643877151799687,0.554983475174044,0.315032,[79778.713299 75399.033643 75334.126493 75334.126493],[0.111111 0 0 0;0.111111 0.06167 0.060457 0.060457;0.111111 0.083198 0.082478 0.082478;0.111111 0 0 0;0.111111 0.070441 0.066796 0.066796;0.111111 0.071266 0.071301 0.071301;0.111111 0.313314 0.315982 0.315982;0.111111 0.17952 0.179333 0.179333;0.111111 0.220591 0.223653 0.223653]
1,10,3,3,10,10,0.679861111111111,0.759824270608118,0.700694444444444,0.617394659953325,0.582106102082539,0.657237871674491,0.596266942392325,0.2526147,[79234.773724 73345.356326 73232.337432 73232.337432],[0.111111 0.008924 0.007186 0.007186;0.111111 0.093388 0.091929 0.091929;0.111111 0.054249 0.05417 0.05417;0.111111 0 0 0;0.111111 0 0 0;0.111111 0.049086 0.049058 0.049058;0.111111 0.294177 0.296761 0.296761;0.111111 0.126514 0.125426 0.125426;0.111111 0.373663 0.37547 0.37547]
1,10,3,3,10,12,0.700694444444444,0.782359071994753,0.718055555555556,0.650440041437624,0.621945778079209,0.681670579029734,0.631421264940877,0.2527447,[79341.757113 73277.247938 73237.66422 73237.66422],[0.111111 0.003249 0.001823 0.001823;0.111111 0.034266 0.033723 0.033723;0.111111 0.16963 0.17007 0.17007;0.111111 0 0 0;0.111111 0 0 0;0.111111 0.089345 0.089012 0.089012;0.111111 0.35933 0.359959 0.359959;0.111111 0.031702 0.031083 0.031083;0.111111 0.312478 0.31433 0.31433]
1,10,3,3,10,14,0.689583333333333,0.78115391079324,0.718055555555556,0.644008028060698,0.618563758872915,0.671635367762128,0.624730673636171,0.3136921,[78416.631383 73743.949463 73620.971075 73620.971075],[0.111111 0 0 0;0.111111 0.037638 0.039048 0.039048;0.111111 0.123698 0.122351 0.122351;0.111111 0.010049 0.006885 0.006885;0.111111 0.123563 0.121049 0.121049;0.111111 0.011414 0.009833 0.009833;0.111111 0.330154 0.335909 0.335909;0.111111 0.071966 0.071151 0.071151;0.111111 0.291517 0.293774 0.293774]
